mlId,movieLabel,year,cast member,country of origin,director,producer,distributed by,film editor,screenwriter,composer
116323,Cry of the City,1948.0,"Shelley Winters, Victor Mature, Richard Conte, Debra Paget, Hope Emerson, Mimi Aguglia, Tito Vuolo, Betty Garde, Berry Kroeger, Fred Clark, Kathleen Howard, Oliver Blake, George Beranger, Howard Freeman, Konstantin Shayne, Walter Baldwin, Tom Moore, Roland Winters",United States of America,Robert Siodmak,Sol C. Siegel,20th Century Studios,Harmon Jones,Richard Murphy,Alfred Newman
116339,Cynthia,1947.0,"Mary Astor, Spring Byington, Scotty Beckett, Will Wright, S. Z. Sakall, Kathleen Howard, Gene Lockhart, Elizabeth Taylor, Anna Q. Nilsson, George Murphy, Jimmy Lydon, Morris Ankrum",United States of America,Robert Z. Leonard,Edwin H. Knopf,Metro-Goldwyn-Mayer,Cotton Warburton,"Buster Keaton, Charles Kaufman, Viña Delmar",Bronisław Kaper
116349,Dangerous Mission,1954.0,"Victor Mature, Dennis Weaver, Walter Reed, Piper Laurie, Harry Cheshire, William Bendix, Betta St. John, Vincent Price",United States of America,Louis King,Irwin Allen,RKO Pictures,Frederic Knudtson,"W. R. Burnett, Charles Bennett, Horace McCoy",Roy Webb
1164,Two or Three Things I Know About Her,1967.0,"Juliet Berto, Jean-Luc Godard, Yves Beneyton, Raoul Lévy, Marina Vlady, Christophe Bourseiller, Jean-Patrick Lebel, Jean Narboni, Anny Duperey, Claude Miller, Marie Cardinal, Élisabeth Margoni","Italy, France",Jean-Luc Godard,Anatole Dauman,Netflix,Françoise Collin,Jean-Luc Godard,Ludwig van Beethoven
116401,Strawberry Wine,2009.0,"Maciej Stuhr, Robert Więckiewicz, Jiří Macháček, Lech Łotocki, Maria Ciunelis, Mieczyslaw Grabka, Marek Litewka, Elżbieta Kilarska, Jerzy Radziwilowicz, Cezary Kosiński, Wojciech Skibiński, Marian Dziędziel, Zuzana Fialová, Ina Gogálová Marojević","Poland, Czech Republic, Slovakia",Dariusz Jabłoński,Dariusz Jabłoński,Gutek Film,Krzysztof Szpetmański,"Andrzej Stasiuk, Dariusz Jabłoński",Michał Lorenc
116427,Air Raid Wardens,1943.0,"William Tannen, Henry O'Neill, Edgar Kennedy, Jacqueline White, Charles Pearce Coleman, Donald Meek, Don Costello, Paul Stanton, Stan Laurel, Oliver Hardy, Stephen McNally, Philip Van Zandt, Frederick Worlock, Howard Freeman, Nella Walker, Robert Emmett O'Connor, Russell Hicks",United States of America,Edward Sedgwick,B. F. Zeidman,"Netflix, Metro-Goldwyn-Mayer",Cotton Warburton,Charley Rogers,Nathaniel Shilkret
116457,Hearts Divided,1936.0,"George Irving, Dick Powell, Claude Rains, Scatman John, Edward Everett Horton, Clara Blandick, Henry Stephenson, Beulah Bondi, Marion Davies, Arthur Treacher, Charles Ruggles, Etienne Girardot, Halliwell Hobbes, Walter Kingsford",United States of America,Frank Borzage,Marion Davies,Warner Bros.,William Holmes,Casey Robinson,Erich Wolfgang Korngold
116537,Shipmates Forever,1935.0,"Dick Powell, Ruby Keeler, Lewis Stone, Ross Alexander, Dick Foran, Frederick Burton, Mary Treen, John Arledge",United States of America,Frank Borzage,Frank Borzage,Warner Bros.,William Holmes,Delmer Daves,Bernhard Kaun
116547,Soldier of Fortune,1955.0,"Clark Gable, Susan Hayward, Leo Gordon, Gene Barry, Richard Loo, James Hong, Michael Rennie, Soo Yong, Tom Tully, Alexander D'Arcy, Hank Mann, Jack Kruschen, Anna Sten, Russell Collins, Robert Burton, George D. Wallace",United States of America,Edward Dmytryk,Buddy Adler,20th Century Studios,Dorothy Spencer,Ernest K. Gann,Hugo Friedhofer
116560,The Secret Invasion,1964.0,"Stewart Granger, William Campbell, Helmuth Schneider, Mickey Rooney, Raf Vallone, Enzo Fiermonte, Fortunato Arena, Peter Coe, Špela Rozin, Henry Silva, Edd Byrnes, Gene Corman, Giulio Marchetti",United States of America,Roger Corman,Gene Corman,"United Artists Corporation, Netflix",Ronald Sinclair,Robert Wright Campbell,Hugo Friedhofer
116562,The Sweet Ride,1968.0,"Jacqueline Bisset, Anthony Franciosa, Michael Sarrazin",United States of America,Harvey Hart,Joe Pasternak,20th Century Studios,Philip W. Anderson,Tom Mankiewicz,Pete Rugolo
116568,Young Tom Edison,1940.0,"George Bancroft, Claire McDowell, Virginia Weidler, Eugene Pallette, J. M. Kerrigan, Spencer Tracy, Mickey Rooney, Victor Kilian, Fay Bainter, George Magrill, Olin Howland, Clem Bevans, Emory Parnell, Harry Shannon, Lloyd Corrigan, Mitchell Lewis, Wade Boteler, Eddy Chandler, Fern Emmett, Frances Morris",United States of America,Norman Taurog,John W. Considine Jr.,Metro-Goldwyn-Mayer,Elmo Veron,"Dore Schary, Hugo Butler",Edward Ward
116600,Do Not Disturb,1965.0,"Leon Askin, Doris Day, Rod Taylor, Raquel Welch, Britt Ekland, Hermione Baddeley, Sergio Fantoni, Reginald Gardiner",United States of America,"George Marshall, Ralph Levy","Aaron Rosenberg, Martin Melcher","20th Century Studios, Netflix",Robert L. Simpson,Richard L. Breen,Lionel Newman
116660,Freier Fall,2013.0,"Max Riemelt, Katharina Schüttler, Hanno Koffler, Maren Kroymann, Stephanie Schönfeld, Jonathan Müller, Shenja Lacher, Britta Hammelstein, Oliver Bröcker",Germany,Stephan Lacant,"Christoph Holthof-Keim, Daniel Reich","KMBO, Edition Salzgeber",Monika Schindler,Stephan Lacant,Dürbeck & Dohmen
116710,Young Man with a Horn,1950.0,"Louis Armstrong, Kirk Douglas, Doris Day, Lauren Bacall, Bess Flowers, Mary Beth Hughes, Keye Luke, Paul Brinegar, Hoagy Carmichael, Jack Kruschen, Dan Seymour, Nestor Paiva, Juano Hernández, Jerome Cowan, Paul Dubov, Fred Aldrich, Jay Eaton, Walter Reed",United States of America,Michael Curtiz,Jerry Wald,"Warner Bros., Netflix",Alan Crosland,"Carl Foreman, Edmund H. North",Ray Heindorf
116736,Deadfall,1968.0,"Giovanna Ralli, Michael Caine, Vladek Sheybal, Philip Madoc, Leonard Rossiter, Eric Portman, Nanette Newman, David Buck",United Kingdom,Bryan Forbes,Paul Monash,"20th Century Studios, Netflix",John Jympson,Desmond Cory,John Barry
116742,Secret,2007.0,"Anthony Wong, Gwei Lun-Mei, Alice Tzeng",Taiwan,Jay Chou,William Kong,"Netflix, Sony Pictures",Cheung Ka-fai,Jay Chou,Jay Chou
116750,Deadline at Dawn,1946.0,"Paul Lukas, Marvin Miller, Susan Hayward, Billy Bletcher, Osa Massen, Joe Sawyer, Lola Lane, Joseph Calleia, Steven Geray, Earle Hodgins, Bill Williams, Jerome Cowan, Roman Bohnen",United States of America,Harold Clurman,Adrian Scott,RKO Pictures,Roland Gross,Clifford Odets,Hanns Eisler
116754,Dear Brigitte,1965.0,"Brigitte Bardot, James Stewart, Ed Wynn, Alice Pearce, Glynis Johns, Fabian, James Brolin, Charles Robinson, Charles Robinson, Jesse White, Bill Mumy, John Williams, Jack Kruschen, William ""Bill"" Henry, Howard Freeman",United States of America,Henry Koster,"Henry Koster, Fred Kohlmar",20th Century Studios,Marjorie Fowler,Nunnally Johnson,George Duning
116781,Serena,2014.0,"Jennifer Lawrence, Bradley Cooper, Rhys Ifans, Toby Jones, Kim Bodnia, David Dencik, Sean Harris, Conleth Hill, Charity Wakefield, Bodil Jørgensen, Blake Ritson, Hilton McRae, Philip Zandén, Pavel Kříž, Ned Dennehy, Jan Monczka, Helena Dvořáková, Jana Stryková, Petr Drozda, Nataša Burger, Ivo Novák, Filip Kaňkovský, Jiří Maria Sieber, Barbara Lukešová, Petr Lněnička, Sam Reid, Petr Vaněk, Vladimír Marek, Ana Ularu, Pavel Řezníček","United States of America, France, Czech Republic",Susanne Bier,Mark Cuban,"Netflix, Hulu, Eagle Pictures, Vertigo Média","Pernille Bech Christensen, Matthew Newman",Christopher Kyle,Johan Söderqvist
116797,The Imitation Game,2014.0,"Keira Knightley, Benedict Cumberbatch, Charles Dance, Matthew Goode",United States of America,Morten Tyldum,"Nora Grossman, Ido Ostrowsky, Teddy Schwarzman","Fórum Hungary, Vudu, Vidéa",William Goldenberg,Graham Moore,Alexandre Desplat
116799,Inherent Vice,2014.0,"Josh Brolin, Richard Nixon, Owen Wilson, Reese Witherspoon, Joaquin Phoenix, Joanna Newsom, Jena Malone, Benicio del Toro, Eric Roberts, Wilson Bethel, Sam Jaeger, Maya Rudolph, Sasha Pieterse, Madison Leisle, Belladonna, Martin Short, Shannon Collis, Samantha Lemole, Serena Scott Thomas, Martin Donovan, Michael K. Williams, Jefferson Mays, Katherine Waterston, Jillian Bell, Jeannie Berlin, Kevin J. O'Connor, Elaine Tan, Emma Dumont, Hong Chau, Peter McRobbie, Keith Jardine, Jack Kelly, Timothy Simons, Jordan David, Yvette Yates, Steven Wiig, Amy Ferguson, Anders Holm",United States of America,Paul Thomas Anderson,"Paul Thomas Anderson, JoAnne Sellar, Daniel Lupi",Warner Bros.,Leslie Jones,Paul Thomas Anderson,Jonny Greenwood
1168,Bad Moon,1996.0,"Mariel Hemingway, Michael Paré, Mason Gamble, Ken Pogue",United States of America,Eric Red,James G. Robinson,"Warner Bros., Netflix",Carroll Timothy O'Meara,Eric Red,Daniel Licht
116811,The Devil-Ship Pirates,1964.0,"Christopher Lee, Andrew Keir, Duncan Lamont, John Cairney, Leonard Fenton, Philip Latham, Barry Warren, Peter Howell",United Kingdom,Don Sharp,Anthony Nelson Keys,Associated British Picture Corporation,James Needs,Jimmy Sangster,Gary Hughes
116841,Rosewater,2014.0,"Gael García Bernal, Haluk Bilginer, Shohreh Aghdashloo, Golshifteh Farahani, Numan Acar, Dimitri Leonidas, Kim Bodnia, Andrew Gower, Jason Jones",United States of America,Jon Stewart,Scott Rudin,"Netflix, Global Road Entertainment",Jay Rabinowitz,Jon Stewart,Howard Shore
116865,Street of Chance,1930.0,"William Powell, Jean Arthur, Kay Francis, Regis Toomey, Irving Bacon, Stanley Fields, Betty Francisco, Brooks Benedict",United States of America,John Cromwell,David O. Selznick,Paramount Pictures,Otho Lovering,"Lenore J. Coffee, Howard Estabrook",John Leipold
116867,Romance,1930.0,"Greta Garbo, Henry Armetta, Clara Blandick, Lewis Stone, Elliott Nugent, Mathilde Comont, Gavin Gordon, Rina De Liguoro, Rolfe Sedan, Roy D'Arcy",United States of America,Clarence Brown,Clarence Brown,Metro-Goldwyn-Mayer,Hugh Wynn,"Bess Meredyth, Edwin Justus Mayer",William Axt
116869,Illicit,1931.0,"Barbara Stanwyck, Joan Blondell, Natalie Moorhead, Ricardo Cortez, James Rennie, Claude Gillingwater, Charles Butterworth",United States of America,Archie Mayo,Darryl F. Zanuck,Warner Bros.,William Holmes,Robert Riskin,Louis Silvers
116881,The Cabin in the Cotton,1932.0,"Bette Davis, Dorothy Jordan, Richard Barthelmess, Henry Brazeale Walthall, Berton Churchill, Tully Marshall, Erville Alderson, Hardie Albright, David Landau, Clarence Muse, Dennis O'Keefe, Dorothy Peterson, Edmund Breese, Russell Simpson",United States of America,Michael Curtiz,"Jack Warner, Darryl F. Zanuck, Hal B. Wallis",Warner Bros.,George Amy,Paul Green,Leo F. Forbstein
116885,The Man Who Played God,1932.0,"Paul Panzer, Bette Davis, George Arliss, Ray Milland, Hedda Hopper, Donald Cook, Ivan Simpson, Leo White, Louise Closser Hale, Eddie Graham, André Luguet, Russell Hopton, Michael Visaroff, Murray Kinnell, Oscar Apfel, Violet Heming, Wade Boteler, Paul Porcasi, Elspeth Dudgeon",United States of America,John G. Adolfi,Darryl F. Zanuck,Warner Bros.,William Holmes,Julien Josephson,Leo F. Forbstein
116887,Exodus: Gods and Kings,2014.0,"Christian Bale, Ben Kingsley, Tara Fitzgerald, Aaron Paul, Hiam Abbass, Kevork Malikyan, Indira Varma, Joel Edgerton, María Valverde, Golshifteh Farahani, Ewen Bremner, Ghassan Massoud, John Turturro, Ben Mendelsohn, Sigourney Weaver, Dar Salim, Anton Alexander","Spain, United States of America, United Kingdom",Ridley Scott,Ridley Scott,"Netflix, InterCom",Billy Rich,"Steven Zaillian, Bill Collage, Adam Cooper",Alberto Iglesias
116893,Trash,2014.0,"Martin Sheen, André Ramiro, Rooney Mara, Christiane Amanpour, Selton Mello, Wagner Moura, Stepan Nercessian, Nelson Xavier, Jesuíta Barbosa, Daniel Zettel, Maria Eduarda, Gisele Frôes, José Dumont",United Kingdom,Stephen Daldry,"Tim Bevan, Eric Fellner","Netflix, Focus Features",Elliot Graham,Richard Curtis,Antonio Pinto
116943,Tesis sobre un homicidio,2013.0,"Ricardo Darín, Calu Rivero, Alberto Ammann, Antonio Ugo, Mateo Chiarino, José Luis Mazza, Fabián Arenillas, Natalia Santiago, Arturo Puig Petrosini",Argentina,Hernán Goldfrid,"Gerardo Herrero, Diego Dubcovsky",Walt Disney Studios Motion Pictures,Pablo Barbieri Carrera,Diego Paszkowski,Sergio Moure de Oteyza
116991,The Yes Men Are Revolting,2014.0,"Barack Obama, Hillary Clinton, Vladimir Putin, Benito Mussolini, Al Gore, Bill McKibben, Andy Bichlbaum, Mike Bonanno","United States of America, Denmark, France, Germany","Andy Bichlbaum, Mike Bonanno, Laura Nix","Jacques Servin, Igor Vamos, Laura Nix, Pieter van Huystee, Rita Dagher, Ole Tornbjerg",The Orchard,"Geraud Brisson, Claire L. Chandler, Søren B. Ebbe, Todd Woody Richman, Steven Simone-Friedland","Andy Bichlbaum, Mike Bonanno, Laura Nix","Joe Wong, Didier Leplae"
1171,Bob Roberts,1992.0,"Tim Robbins, Susan Sarandon, Pamela Reed, Alan Rickman, John Cusack, Eva Amurri, Fred Ward, Lynne Thigpen, Bob Balaban, Peter Gallagher, Gore Vidal, Helen Hunt, Anita Gillette, Harry Lennix, David Strathairn, Jeremy Piven, James Spader, Jack Black, Ray Wise, Fisher Stevens, Giancarlo Esposito, Ned Bellamy, Robert Stanton, Tom Atkins, Steve Pink, Allan F. Nicholls, Kelly Willis, Adam Simon, Kathleen Chalfant, Rebecca Jenkins, Matthew Faber, Shira Piven, Paul Quinn",United States of America,Tim Robbins,Tim Bevan,"Paramount Pictures, Netflix",Lisa Zeno Churgin,Tim Robbins,David Robbins
117125,The Man Who Loved Yngve,2008.0,"Kristoffer Joner, Andreas Cappelen, Rolf Kristian Larsen, Vegar Hoel, Erlend Stene, Kim Giske Andersen, Ole Christoffer Ertvaag, Trine Wiggen, Marko Iversen Kanic, Arthur Berning, Jørgen Langhelle, Ida Elise Broch, Karoline Krüger",Norway,Stian Kristiansen,Yngve Sæther,"Netflix, Sandrew Metronome",Vidar Flataukan,Tore Renberg,"John Erik Kaada, Geir Zahl"
117136,One Chance,2013.0,"Julie Walters, Mackenzie Crook, Colm Meaney, Jemima Rooper, James Corden, Alexandra Roach, Trystan Gravelle","United States of America, United Kingdom",David Frankel,Simon Cowell,"The Weinstein Company, Fórum Hungary",Wendy Greene Bricmont,Justin Zackham,Theodore Shapiro
117176,The Theory of Everything,2014.0,"Stephen Hawking, Eddie Redmayne, Frank Leboeuf, David Thewlis, Emily Watson, Harry Lloyd, Felicity Jones, Charlie Cox, Lesley Manville, Simon McBurney, Abigail Cruttenden, Adam Godley, Charlotte Hope, Michael Marcus, Christian McKay, Enzo Cilenti, Maxine Peake, Alice Orr-Ewing, Guy Oliver-Watts, Tom Prior, Georg Nikoloff","Japan, United States of America, United Kingdom",James Marsh,"Anthony McCarten, Tim Bevan, Eric Fellner, Lisa Bruce","UIP-Dunafilm, Netflix",Jinx Godfrey,Anthony McCarten,Jóhann Jóhannsson
117186,Brigham Young,1940.0,"Vincent Price, Jane Darwell, Tyrone Power, Mary Astor, Linda Darnell, Jean Rogers, Ann Todd, Russell Simpson, Dean Jagger, Moroni Olsen, Brian Donlevy, Marc Lawrence, Tully Marshall, Hank Worden, John Carradine, Charles Middleton, Dick Jones, Ann E. Todd, Willard Robertson, Frederick Burton",United States of America,Henry Hathaway,Darryl F. Zanuck,"Netflix, 20th Century Studios",Robert Bischoff,"Louis Bromfield, Lamar Trotti",Alfred Newman
117190,It All Came True,1940.0,"Humphrey Bogart, Felix Bressart, ZaSu Pitts, Ann Sheridan, Jeffrey Lynn, Grant Mitchell",United States of America,Lewis Seiler,Mark Hellinger,Warner Bros.,Thomas Richards,Louis Bromfield,Heinz Eric Roemheld
1172,Cinema Paradiso,1989.0,"Leopoldo Trieste, Philippe Noiret, Salvatore Cascio, Isa Danieli, Jacques Perrin, Leo Gullotta, Brigitte Fossey, Enzo Cannavale, Pupella Maggio, Tano Cimarosa, Marco Leonardi, Mimmo Mignemi, Nicola Di Pinto, Agnese Nano, Antonella Attili, Nino Terzo, Roberta Lena","Italy, France",Giuseppe Tornatore,Franco Cristaldi,"Miramax, Vudu",Mario Morra,Giuseppe Tornatore,Ennio Morricone
1173,"The Cook, the Thief, His Wife and Her Lover",1989.0,"Alex Kingston, Liz Smith, Tim Roth, Ciarán Hinds, Michael Gambon, Richard Bohringer, Roger Ashton-Griffiths, Alan Howard, Ian Dury, Helen Mirren, Arnie Breeveld, Ewan Stewart, Diane Langton, Michael Clark, Bob Goody, Roger Lloyd-Pack, Gary Olsen, Hywel Williams-Ellis, Janet Henfrey, Ron Cook, Yolande Brener","Netherlands, France, United Kingdom",Peter Greenaway,"Daniel Toscan du Plantier, Pascale Dauman, Denis Wigman, Kees Kasander","Vudu, Stephen Woolley",John Wilson,Peter Greenaway,Michael Nyman
117334,The New Girlfriend,2014.0,"Aurore Clément, François Ozon, Anaïs Demoustier, Romain Duris, Isild Le Besco, Raphaël Personnaz, Claudine Chatel, Jean-Claude Bolle-Reddat, Michèle Raingeval, Zita Hanrot",France,François Ozon,Éric Altmayer,"Officine UBU, ADS Service",Laure Gardette,"Ruth Rendell, François Ozon",Philippe Rombi
117344,Gåten Ragnarok,2013.0,"Sofia Helin, Kyrre Haugen Sydness, Jens Hultén, Bjørn Sundquist, Maria Annette Tanderø Berglyd, Stefan Cronwall, Rina Kelly, Tor Aksel Mathisen, Julian Podolski, Terje Strømdahl, Vera Rudi, Nicolai Cleve Broch, Pål Sverre Valheim Hagen",Norway,Mikkel Sandemose,"Martin Sundland, Are Heidenstrøm","Magnolia Pictures, Njutafilms, Nordisk Film",Christian Siebenhertz,John Kåre Raake,Magnus Beite
117350,Manolete,2008.0,"Penélope Cruz, Adrien Brody, Juan Echanove, Santiago Segura, Rubén Ochandiano, Ann Mitchell, Pedro Casablanc, Pepe Ocio","Spain, United Kingdom, France",Menno Meyjes,Andrés Vicente Gómez,"Netflix, Eagle Pictures",Sylvie Landra,Menno Meyjes,Dan Jones
117460,Treasure of the Four Crowns,1983.0,"Francisco Rabal, Ana Obregón, Don Lewis, Gene Quintano, Tony Anthony, Emiliano Redondo","Spain, United States of America, Italy",Ferdinando Baldi,Tony Anthony,The Cannon Group,Franco Fraticelli,Lloyd Battista,Ennio Morricone
117466,In the Heart of the Sea,2015.0,"Benjamin Walker, Paul Anderson, Michelle Fairley, Chris Hemsworth, Jordi Mollà, Frank Dillane, Donald Sumpter, Jamie Sives, Cillian Murphy, Joseph Mawle, Charlotte Riley, Gary Beadle, Ben Whishaw, Brendan Gleeson, Tom Holland, Richard Bremmer, Edward Ashley-Cooper, Sam Keeley","Spain, United States of America, Australia",Ron Howard,"Joe Roth, Ron Howard, Brian Grazer, Paula Weinstein","Netflix, InterCom","Mike Hill, Daniel P. Hanley","Charles Leavitt, Rick Jaffa and Amanda Silver, Rick Jaffa",Roque Baños
1175,Delicatessen,1991.0,"Howard Vernon, Karin Viard, Dominique Pinon, Ticky Holgado, Anne-Marie Pisani, Dominique Zardi, Rufus, Jean-Claude Dreyfus, Marc Caro, Silvie Laguna, Edith Ker, Éric Averlant, Jacques Mathou, Jean-François Perrier, Marie-Laure Dougnac, Chick Ortega, Dominique Bettenfeld, Maurice Lamy",France,"Jean-Pierre Jeunet, Marc Caro",Claudie Ossard,"MOKÉP, Vudu",Hervé Schneid,"Jean-Pierre Jeunet, Marc Caro, Gilles Adrien",Carlos d'Alessio
117529,Jurassic World,2015.0,"Katie McGrath, Brad Bird, Omar Sy, Jimmy Buffett, BD Wong, Irrfan Khan, Jake Johnson, Ty Simpkins, Bryce Dallas Howard, Chris Pratt, Andy Buckley, Michael Papajohn, Brian Tee, Judy Greer, Colby Boothman, Eric Edelstein, Vincent D'Onofrio, Jimmy Fallon, Alan Purwin, Slim Khezri, James DuMont, Johnny Otto, Colin Trevorrow, Gary Weeks, Nick Robinson, Lauren Lapkus",United States of America,Colin Trevorrow,"Steven Spielberg, Frank Marshall, Thomas Tull","UIP-Dunafilm, Universal Pictures",Kevin Stitt,"Colin Trevorrow, Derek Connolly, Amanda Silver, Rick Jaffa",Michael Giacchino
117533,Citizenfour,2014.0,"Julian Assange, Jacob Appelbaum, Wolfgang Kaleck, Jeremy Scahill, Glenn Greenwald, Gonzalo Boye, William Edward Binney, Harry Pregerson, Ewen MacAskill, Marcel Rosenbach, David Miranda, H. Thomas Byron, William Bourdon, Laura Poitras, Edward Snowden, M. Margaret McKeown, Michael Daly Hawkins, Roberto Kaz, José Casado, Marcel Bosonnet, Lindsay Mills, Ben Wizner, Carsten Gericke, Julian Borger, Paul Johnson, Ladar Levison, Rainer Staudhammer, Nick Hopkins, Jonathan Man, Robert Tibbo, Kevin Bankston","United States of America, United Kingdom, Germany",Laura Poitras,"Kirsten Johnson, Mathilde Bonnefoy, Laura Poitras, Katy Scoggin, Dirk Wilutzky","Netflix, The Weinstein Company, Vudu",Mathilde Bonnefoy,Laura Poitras,Nine Inch Nails
117543,LOL (Laughing Out Loud),2008.0,"Christa Théret, Lisa Azuelos, Sophie Marceau, Valérie Karsenti, Jocelyn Quivrin, Françoise Fabian, Félix Moati, Joana Preiss, Laurent Bateau, Lise Lamétrie, Alexandre Astier, Olivier Cruveiller, Stéphanie Murat, Axel Boute, Axel Kiener, Christiane Millet, Christophe Bourseiller, Jean-Claude Dauphin, Jérémy Kapone, Lou Lesage, Marion Chabassol, Pierre Niney, Kev Adams",France,Lisa Azuelos,Lisa Azuelos,"Netflix, Pathé",Stan Collet,Lisa Azuelos,Readymade
117565,God Forgives... I Don't!,1967.0,"Frank Braña, José Manuel Martín, Bud Spencer, Terence Hill, Frank Wolff, Joaquín Blanco, José Terrón, Remo Capitani, José Canalejas, Giancarlo Bastianoni, Gina Rovere, Giovanna Lenzi, Roberto Alessandri, Luis Barboo, Rufino Inglés, Tito García","Spain, Italy",Giuseppe Colizzi,Enzo D'Ambrosio,Netflix,Sergio Montanari,Giuseppe Colizzi,Carlo Rustichelli
117578,1½ Knights – In Search of the Ravishing Princess Herzelinde,2008.0,"Roberto Blanco, Justus von Dohnányi, Ken Duken, Til Schweiger, Johannes Heesters, Anna Maria Mühe, Julia Dietze, Mark Keller, Dieter Hallervorden, Simon Verhoeven, Tobias Moretti, Thomas Gottschalk, Sunnyi Melles, Fahri Yardım, Udo Kier, Stefanie Stappenbeck, Helmut Markwort, Holger Handtke, Denis Moschitto, Rick Kavanian, Hannelore Elsner, Zora Holt, Gregor Bloéb, Maddalena Hirschal, Charly Hübner, Claudia Fritzsche, Jorres Risse, Ralph Herforth, Thierry Van Werveke, Philippe Reinhardt, Tim Wilde, Gode Benedix, Johanna Penski",Germany,"Til Schweiger, Christof Wahl",Thomas Zickler,Warner Bros.,Charles Ladmiral,Oliver Ziegenbalg,Stefan Hansen
117596,Devil's Doorway,1950.0,"Spring Byington, Robert Taylor, Fritz Leiber, Bruce Cowling, Marshall Thompson, Philo McCullough, William Bailey, Louis Calhern, Dabbs Greer, Chief John Big Tree, Rhys Williams, John Maxwell, Herman Hack, Tom Fadden, Edgar Buchanan, James Mitchell, Harry Antrim, James Millican, Kermit Maynard, Paula Raymond",United States of America,Anthony Mann,Nicholas Nayfack,Metro-Goldwyn-Mayer,Conrad A. Nervig,Guy Trosper,Daniele Amfitheatrof
117610,Doctor at Large,1957.0,"Ernest Thesiger, James Robertson Justice, Dirk Bogarde, Donald Sinden, Martin Benson, Anne Heywood, Judith Furse, Muriel Pavlow, Shirley Eaton, John Chandos, Mervyn Johns, Edward Chapman, Lionel Jeffries, George Coulouris, Ernest Jay",United Kingdom,Ralph Thomas,Betty Box,General Film Distributors,Frederick Wilson,Nicholas Phipps,Edmund Crispin
117612,Doctor in Distress,1963.0,"Samantha Eggar, Mylène Demongeot, James Robertson Justice, Marianne Stone, Barbara Murray, Timothy Bateson, Frank Finlay, Donald Houston, Dirk Bogarde, Derek Fowlds, Ronald Lacey, Jessie Evans, Dennis Price, Ronnie Barker, Richard Briers, Fenella Fielding, Leo McKern, Joe Robinson, Robert Rietti",United Kingdom,Ralph Thomas,Betty Box,Rank Organisation,Alfred Roome,Nicholas Phipps,Norrie Paramor
117614,Doctor in the House,1954.0,"Noel Purcell, James Robertson Justice, Richard Wattis, Donald Sinden, Shirley Eaton, Muriel Pavlow, Dirk Bogarde, Kay Kendall, Suzanne Cloutier, Joan Hickson, Kenneth More, Geoffrey Keen, Joan Sims, Donald Houston, George Coulouris, Amy Veness",United Kingdom,Ralph Thomas,Betty Box,"Netflix, General Film Distributors",Gerald Thomas,"Richard F. Gordon, Richard Gordon, Nicholas Phipps",Edmund Crispin
117624,Don't Give Up the Ship,1959.0,"Fritz Feld, Robert Middleton, Gale Gordon, Jerry Lewis, Dina Merrill, Mary Treen, Mabel Albertson, Mickey Shaughnessy, Claude Akins, Hugh Sanders, Karl Lukas, Pamela Duncan, Hank Mann",United States of America,Norman Taurog,Hal B. Wallis,Paramount Pictures,Warren Low,Herbert Baker,Walter Scharf
117674,El Condor,1970.0,"Lee Van Cleef, Dan van Husen, Ángel del Pozo, Patrick O'Neal, Iron Eyes Cody, Jim Brown, Elisha Cook Jr., Florencio Amarilla, Imogen Hassall, Ricardo Palacios, Gustavo Rojo, Marianna Hill",United States of America,John Guillermin,André de Toth,"Netflix, National General Pictures",William H. Ziegler,Larry Cohen,Maurice Jarre
117690,Enchantment,1948.0,"Teresa Wright, Jayne Meadows, Farley Granger, Evelyn Keyes, David Niven, Leo G. Carroll, Melville Cooper, Henry Stephenson, Philip Friend, Matthew Boulton, Gerald Oliver Smith, Edmund Breon, Gigi Perreau, Marjorie Rhodes, Shepperd Strudwick, Robin Hughes, Peter Miles",United States of America,Irving Reis,Samuel Goldwyn,RKO Pictures,Daniel Mandell,John Patrick,Hugo Friedhofer
1177,Enchanted April,1992.0,"Polly Walker, Jim Broadbent, Joan Plowright, Miranda Richardson, Alfred Molina, Neville Phillips, Anna Longhi, Michael Kitchen, Vittorio Duse, Adriana Facchetti, Josie Lawrence, Davide Manuli","Italy, United Kingdom",Mike Newell,"Ann Scott, Simon Relph, Mark Shivas","Medusa Film, Netflix",Dick Allen,Peter Barnes,Richard Rodney Bennett
117712,My Friend Irma Goes West,1950.0,"Corinne Calvet, John Lund, Dean Martin, Jerry Lewis, Marie Wilson, Diana Lynn, Gregg Palmer, Lloyd Corrigan, Chief Yowlachie, Don Porter",United States of America,Hal Walker,Hal B. Wallis,Paramount Pictures,Warren Low,Cy Howard,Leigh Harline
117728,Moving Violations,1985.0,"Sally Kellerman, Don Cheadle, Wendie Jo Sperber, Fred Willard, Nedra Volz, James Keach, Dedee Pfeiffer, Jennifer Tilly, Robert Conrad, Willard E. Pugh, Brian Backer, Neal Israel, R. A. Mihailoff, Clara Peller, John Murray, Casey Sander",United States of America,Neal Israel,Joe Roth,20th Century Studios,Tom Walls,"Pat Proft, Neal Israel",Ralph Burns
