ID	__name__	released	starring	originating from	directed by	produced by	distributed by	edited by	screenwriter	music by	probes_0	probes_1
112483	Sunburn	1979	Farrah Fawcett	United States of America	Richard C. Sarafian	John Daly	Paramount Pictures	Geoffrey Foot	James Booth	John Cameron	Sunburn is a movie, of the genre <mask>.	Sunburn is a movie, released 1979, of the genre <mask>.
1125	The Return of the Pink Panther	1975	Eric Pohlmann	United States of America	Blake Edwards	Tony Adams	United Artists Corporation	Tom Priestley	Blake Edwards	Henry Mancini	The Return of the Pink Panther is a movie, of the genre <mask>.	The Return of the Pink Panther is a movie, released 1975, of the genre <mask>.
112512	Colorful	2010	Aoi Miyazaki	Japan	Keiichi Hara	Atsuhiro Iwakami	Toho	Toshihiko Kojima	Miho Maruo	Kow Otani	Colorful is a movie, of the genre <mask>.	Colorful is a movie, released 2010, of the genre <mask>.
112550	White God	2014	László Gálffi	Hungary	Kornél Mundruczó	Viktória Petrányi	InterCom	David Jancsó	Kornél Mundruczó	Asher Goldschmidt	White God is a movie, of the genre <mask>.	White God is a movie, released 2014, of the genre <mask>.
112552	Whiplash	2014	Melissa Benoist	United States of America	Damien Chazelle	Jason Reitman	Netflix	Tom Cross	Damien Chazelle	Justin Hurwitz	Whiplash is a movie, of the genre <mask>.	Whiplash is a movie, released 2014, of the genre <mask>.
112554	Luther	1974	Judi Dench	United States of America	Guy Green	Ely Landau	Netflix	Malcolm Cooke	John Osborne	John Addison	Luther is a movie, of the genre <mask>.	Luther is a movie, released 1974, of the genre <mask>.
112556	Gone Girl	2014	Lee Norris	United States of America	David Fincher	Arnon Milchan	Netflix	Kirk Baxter	Gillian Flynn	Trent Reznor	Gone Girl is a movie, of the genre <mask>.	Gone Girl is a movie, released 2014, of the genre <mask>.
112594	Duplicate	1998	Juhi Chawla	India	Mahesh Bhatt	Yash Johar	Dharma Productions	Waman Bhonsle	Javed Siddiqui	Louis Banks	Duplicate is a movie, of the genre <mask>.	Duplicate is a movie, released 1998, of the genre <mask>.
112623	Dawn of the Planet of the Apes	2014	Barack Obama	United States of America	Matt Reeves	Peter Chernin	Netflix	William Hoy	Mark Bomback	Michael Giacchino	Dawn of the Planet of the Apes is a movie, of the genre <mask>.	Dawn of the Planet of the Apes is a movie, released 2014, of the genre <mask>.
112637	The Ultimate Warrior	1975	Yul Brynner	United States of America	Robert Clouse	Fred Weintraub	Warner Bros.	Michael Kahn	Robert Clouse	Gil Mellé	The Ultimate Warrior is a movie, of the genre <mask>.	The Ultimate Warrior is a movie, released 1975, of the genre <mask>.
112693	A Dispatch from Reuter's	1940	Albert Bassermann	United States of America	William Dieterle	Henry Blanke	Warner Bros.	Warren Low	Milton Krims	Max Steiner	A Dispatch from Reuter's is a movie, of the genre <mask>.	A Dispatch from Reuter's is a movie, released 1940, of the genre <mask>.
1127	The Abyss	1989	Frank Lloyd	United States of America	James Cameron	Gale Anne Hurd	20th Century Studios	Howard E. Smith	James Cameron	Alan Silvestri	The Abyss is a movie, of the genre <mask>.	The Abyss is a movie, released 1989, of the genre <mask>.
112710	The Strange One	1957	George Peppard	United States of America	Jack Garfein	Sam Spiegel	Columbia Pictures	Sidney Katz	Calder Willingham	Kenyon Hopkins	The Strange One is a movie, of the genre <mask>.	The Strange One is a movie, released 1957, of the genre <mask>.
112723	Billy Two Hats	1974	Jack Warden	United States of America	Ted Kotcheff	Norman Jewison	United Artists Corporation	Thom Noble	Alan Sharp	John Scott	Billy Two Hats is a movie, of the genre <mask>.	Billy Two Hats is a movie, released 1974, of the genre <mask>.
112725	Buffalo Bill	1944	Anthony Quinn	United States of America	William A. Wellman	Darryl F. Zanuck	20th Century Studios	James B. Clark	Æneas MacKenzie	David Buttolph	Buffalo Bill is a movie, of the genre <mask>.	Buffalo Bill is a movie, released 1944, of the genre <mask>.
112804	I Origins	2014	Astrid Berges-Frisbey	United States of America	Mike Cahill	Mike Cahill	Netflix	Mike Cahill	Mike Cahill	Fall On Your Sword	I Origins is a movie, of the genre <mask>.	I Origins is a movie, released 2014, of the genre <mask>.
112842	Bundle of Joy	1956	Debbie Reynolds	United States of America	Norman Taurog	Edmund Grainger	RKO Pictures	Harry Marker	Norman Krasna	Hugo Winterhalter	Bundle of Joy is a movie, of the genre <mask>.	Bundle of Joy is a movie, released 1956, of the genre <mask>.
112852	Guardians of the Galaxy	2014	Stan Lee	United States of America	James Gunn	Kevin Feige	Fórum Hungary	Fred Raskin	Dan Abnett	Tyler Bates	Guardians of the Galaxy is a movie, of the genre <mask>.	Guardians of the Galaxy is a movie, released 2014, of the genre <mask>.
112854	The Ghost Goes West	1935	Robert Donat	United Kingdom	René Clair	Alexander Korda	United Artists Corporation	Henry Cornelius	Robert E. Sherwood	Mischa Spoliansky	The Ghost Goes West is a movie, of the genre <mask>.	The Ghost Goes West is a movie, released 1935, of the genre <mask>.
112880	But Not for Me	1959	Thomas Gomez	United States of America	Walter Lang	George Seaton	Netflix	Alma Macrorie	Samson Raphaelson	Leith Stevens	But Not for Me is a movie, of the genre <mask>.	But Not for Me is a movie, released 1959, of the genre <mask>.
112890	Jimmy's Hall	2014	Francis Magee	France	Ken Loach	Rebecca O'Brien	BiM Distribuzione	Mike Andrews	Paul Laverty	George Fenton	Jimmy's Hall is a movie, of the genre <mask>.	Jimmy's Hall is a movie, released 2014, of the genre <mask>.
112897	The Expendables 3	2014	Sylvester Stallone	France	Patrick Hughes	Danny Lerner	Netflix	Sean Albertson	Sylvester Stallone	Brian Tyler	The Expendables 3 is a movie, of the genre <mask>.	The Expendables 3 is a movie, released 2014, of the genre <mask>.
1129	Escape from New York	1981	Rodger Bumpass	United States of America	John Carpenter	Debra Hill	Netflix	Todd Ramsay	John Carpenter	John Carpenter	Escape from New York is a movie, of the genre <mask>.	Escape from New York is a movie, released 1981, of the genre <mask>.
112909	Kites	2010	Hrithik Roshan	United States of America	Anurag Basu	Brett Ratner	Netflix	Mark Helfrich	Anurag Basu	Graeme Revell	Kites is a movie, of the genre <mask>.	Kites is a movie, released 2010, of the genre <mask>.
112911	Hercules	2014	Dwayne Johnson	United States of America	Brett Ratner	Brett Ratner	Netflix	Mark Helfrich	Evan Spiliotopoulos	Fernando Velázquez	Hercules is a movie, of the genre <mask>.	Hercules is a movie, released 2014, of the genre <mask>.
112940	A Most Wanted Man	2014	Daniel Brühl	United States of America	Anton Corbijn	Andrea Calderwood	Netflix	Claire Simpson	Andrew Bovell	Herbert Grönemeyer	A Most Wanted Man is a movie, of the genre <mask>.	A Most Wanted Man is a movie, released 2014, of the genre <mask>.
112946	Wish I Was Here	2014	Zach Braff	United States of America	Zach Braff	Michael Shamberg	Focus Features	Myron Kerstein	Zach Braff	Rob Simonsen	Wish I Was Here is a movie, of the genre <mask>.	Wish I Was Here is a movie, released 2014, of the genre <mask>.
112959	Go for Sisters	2013	Isaiah Washington	United States of America	John Sayles	Edward James Olmos	Netflix	John Sayles	John Sayles	Mason Daring	Go for Sisters is a movie, of the genre <mask>.	Go for Sisters is a movie, released 2013, of the genre <mask>.
113	Before and After	1996	Meryl Streep	United States of America	Barbet Schroeder	Barbet Schroeder	Walt Disney Studios Motion Pictures	Lee Percy	Ted Tally	Howard Shore	Before and After is a movie, of the genre <mask>.	Before and After is a movie, released 1996, of the genre <mask>.
1130	The Howling	1980	Forrest J Ackerman	United States of America	Joe Dante	Michael Finnell	Embassy Pictures	Joe Dante	John Sayles	Pino Donaggio	The Howling is a movie, of the genre <mask>.	The Howling is a movie, released 1980, of the genre <mask>.
113001	Family United	2013	Roberto Alamo	Spain	Daniel Sánchez Arévalo	José Antonio Félez	iTunes	Nacho Ruiz Capillas	Daniel Sánchez Arévalo	Josh Rouse	Family United is a movie, of the genre <mask>.	Family United is a movie, released 2013, of the genre <mask>.
113012	Calendar Girl	1947	Lou Nova	United States of America	Allan Dwan	Allan Dwan	Republic Pictures	Fred Allen	Mary Loos	Nathan Scott	Calendar Girl is a movie, of the genre <mask>.	Calendar Girl is a movie, released 1947, of the genre <mask>.
113024	The Unholy Wife	1957	Diana Dors	United States of America	John Farrow	John Farrow	Universal Pictures	Eda Warren	Jonathan Latimer	Daniele Amfitheatrof	The Unholy Wife is a movie, of the genre <mask>.	The Unholy Wife is a movie, released 1957, of the genre <mask>.
113083	Westfront 1918	1930	Gustav Püttjer	Weimar Republic	Georg Wilhelm Pabst	Seymour Nebenzal	Nero-Film	Wolfgang Loe Bagier	Peter Martin Lampel	Alexander Laszlo	Westfront 1918 is a movie, of the genre <mask>.	Westfront 1918 is a movie, released 1930, of the genre <mask>.
1131	Jean de Florette	1986	Daniel Auteuil	Italy	Claude Berri	Alain Poiré	Netflix	Hervé de Luze	Claude Berri	Jean-Claude Petit	Jean de Florette is a movie, of the genre <mask>.	Jean de Florette is a movie, released 1986, of the genre <mask>.
113188	The Rover	2014	Robert Pattinson	Australia	David Michôd	David Linde	Village Roadshow	Peter Sciberras	David Michôd	Antony Partos	The Rover is a movie, of the genre <mask>.	The Rover is a movie, released 2014, of the genre <mask>.
113207	Get on Up	2014	Nelsan Ellis	United States of America	Tate Taylor	Elizabeth Banks	Universal Pictures	Michael McCusker	Jez Butterworth	Thomas Newman	Get on Up is a movie, of the genre <mask>.	Get on Up is a movie, released 2014, of the genre <mask>.
113275	The Hundred-Foot Journey	2014	Om Puri	India	Lasse Hallström	Oprah Winfrey	Walt Disney Studios Motion Pictures	Andrew Mondshein	Steven Knight	A. R. Rahman	The Hundred-Foot Journey is a movie, of the genre <mask>.	The Hundred-Foot Journey is a movie, released 2014, of the genre <mask>.
113284	A Bell for Adano	1945	Hugo Haas	France	Henry King	Lamar Trotti	20th Century Studios	Barbara McLean	Norman Reilly Raine	Alfred Newman	A Bell for Adano is a movie, of the genre <mask>.	A Bell for Adano is a movie, released 1945, of the genre <mask>.
113309	The Fifth Cord	1971	Andrea Scotti	Italy	Luigi Bazzoni	Manolo Bolognini	Netflix	Eugenio Alabiso	Luigi Bazzoni	Ennio Morricone	The Fifth Cord is a movie, of the genre <mask>.	The Fifth Cord is a movie, released 1971, of the genre <mask>.
113345	Jupiter Ascending	2015	Terry Gilliam	United States of America	The Wachowskis	Bruce Berman	Netflix	Alexander Berner	The Wachowskis	Michael Giacchino	Jupiter Ascending is a movie, of the genre <mask>.	Jupiter Ascending is a movie, released 2015, of the genre <mask>.
113348	Teenage Mutant Ninja Turtles	2014	Whoopi Goldberg	United States of America	Jonathan Liebesman	Michael Bay	Paramount Pictures	Glen Scantlebury	John Fusco	Brian Tyler	Teenage Mutant Ninja Turtles is a movie, of the genre <mask>.	Teenage Mutant Ninja Turtles is a movie, released 2014, of the genre <mask>.
113378	The Giver	2014	Meryl Streep	United States of America	Phillip Noyce	Jeff Bridges	The Weinstein Company	Barry Alexander Brown	Lois Lowry	Marco Beltrami	The Giver is a movie, of the genre <mask>.	The Giver is a movie, released 2014, of the genre <mask>.
113453	Let's Be Cops	2014	Nina Dobrev	United States of America	Luke Greenfield	Luke Greenfield	20th Century Studios	Bill Pankow	Luke Greenfield	Christophe Beck	Let's Be Cops is a movie, of the genre <mask>.	Let's Be Cops is a movie, released 2014, of the genre <mask>.
113468	D-Day the Sixth of June	1956	Dana Wynter	United States of America	Henry Koster	Charles Brackett	20th Century Studios	William Mace	Ivan Moffat	Lyn Murray	D-Day the Sixth of June is a movie, of the genre <mask>.	D-Day the Sixth of June is a movie, released 1956, of the genre <mask>.
113495	An Act of Murder	1948	Fredric March	United States of America	Michael Gordon	Jerry Bresler	Universal Pictures	Ralph Dawson	Ernst Lothar	Daniele Amfitheatrof	An Act of Murder is a movie, of the genre <mask>.	An Act of Murder is a movie, released 1948, of the genre <mask>.
113497	Antboy	2013	Nicolas Bro	Denmark	Ask Hasselbalch	Birgitte Hald	Netflix	My Thordal	Nikolaj Arcel	Peter Peter	Antboy is a movie, of the genre <mask>.	Antboy is a movie, released 2013, of the genre <mask>.
1135	Private Benjamin	1980	Goldie Hawn	United States of America	Howard Zieff	Goldie Hawn	Warner Bros.	Sheldon Kahn	Nancy Meyers	Bill Conti	Private Benjamin is a movie, of the genre <mask>.	Private Benjamin is a movie, released 1980, of the genre <mask>.
113505	Carry On... Up the Khyber	1968	Peter Gilmore	United Kingdom	Gerald Thomas	Peter Rogers	Rank Organisation	Alfred Roome	Talbot Rothwell	Eric Rogers	Carry On... Up the Khyber is a movie, of the genre <mask>.	Carry On... Up the Khyber is a movie, released 1968, of the genre <mask>.
113565	The Sacrament	2013	A. J. Bowen	United States of America	Ti West	Eli Roth	Netflix	Ti West	Ti West	Tyler Bates	The Sacrament is a movie, of the genre <mask>.	The Sacrament is a movie, released 2013, of the genre <mask>.
113573	Sin City: A Dame to Kill For	2014	Robert Rodriguez	United States of America	Robert Rodriguez	Oleg Boyko	Netflix	Robert Rodriguez	Robert Rodriguez	Robert Rodriguez	Sin City: A Dame to Kill For is a movie, of the genre <mask>.	Sin City: A Dame to Kill For is a movie, released 2014, of the genre <mask>.
113604	If I Stay	2014	Chloë Grace Moretz	United States of America	R. J. Cutler	Denise Di Novi	Warner Bros.	Keith Henderson	Shauna Cross	Heitor Pereira	If I Stay is a movie, of the genre <mask>.	If I Stay is a movie, released 2014, of the genre <mask>.
113709	The Tunnel	1935	Madge Evans	United Kingdom	Maurice Elvey	Michael Balcon	Gaumont-British Picture Corporation	Charles Frend	Bernhard Kellermann	Hubert Bath	The Tunnel is a movie, of the genre <mask>.	The Tunnel is a movie, released 1935, of the genre <mask>.
113838	The Black Bird	1975	Stéphane Audran	United States of America	David Giler	George Segal	Columbia Pictures	Lou Lombardo	David Giler	Jerry Fielding	The Black Bird is a movie, of the genre <mask>.	The Black Bird is a movie, released 1975, of the genre <mask>.
113862	The Guest	2014	Sheila Kelley	United States of America	Adam Wingard	Keith Calder	Netflix	Adam Wingard	Simon Barrett	Steve Moore	The Guest is a movie, of the genre <mask>.	The Guest is a movie, released 2014, of the genre <mask>.
113895	Zaza	1938	Claudette Colbert	United States of America	George Cukor	Alla Nazimova	Paramount Pictures	Edward Dmytryk	Zoë Akins	Frank Loesser	Zaza is a movie, of the genre <mask>.	Zaza is a movie, released 1938, of the genre <mask>.
113924	Oklahoma Crude	1973	Faye Dunaway	United States of America	Stanley Kramer	Stanley Kramer	Columbia Pictures	Folmar Blangsted	Marc Norman	Henry Mancini	Oklahoma Crude is a movie, of the genre <mask>.	Oklahoma Crude is a movie, released 1973, of the genre <mask>.
113951	Alamo Bay	1985	Martin LaSalle	United States of America	Louis Malle	Louis Malle	Netflix	James Bruce	Alice Arlen	Ry Cooder	Alamo Bay is a movie, of the genre <mask>.	Alamo Bay is a movie, released 1985, of the genre <mask>.
114007	Before I Go to Sleep	2014	Mark Strong	United Kingdom	Rowan Joffé	Ridley Scott	Netflix	Melanie Oliver	Rowan Joffé	Edward Shearmur	Before I Go to Sleep is a movie, of the genre <mask>.	Before I Go to Sleep is a movie, released 2014, of the genre <mask>.
114046	God's Pocket	2014	Eddie Marsan	United States of America	John Slattery	Philip Seymour Hoffman	IFC Films	Tom McArdle	John Slattery	Nathan Larson	God's Pocket is a movie, of the genre <mask>.	God's Pocket is a movie, released 2014, of the genre <mask>.
114048	Tennessee Johnson	1942	Marjorie Main	United States of America	William Dieterle	Irving Asher	Metro-Goldwyn-Mayer	Robert J. Kern	John L. Balderston	Herbert Stothart	Tennessee Johnson is a movie, of the genre <mask>.	Tennessee Johnson is a movie, released 1942, of the genre <mask>.
114060	The Drop	2014	Noomi Rapace	United States of America	Michaël R. Roskam	Peter Chernin	Netflix	Christopher Tellefsen	Dennis Lehane	Marco Beltrami	The Drop is a movie, of the genre <mask>.	The Drop is a movie, released 2014, of the genre <mask>.
114180	The Maze Runner	2014	Thomas Brodie-Sangster	United States of America	Wes Ball	Wyck Godfrey	InterCom	Dan Zimmerman	Noah Oppenheim	John Paesano	The Maze Runner is a movie, of the genre <mask>.	The Maze Runner is a movie, released 2014, of the genre <mask>.
114217	Castle on the Hudson	1940	Ann Sheridan	United States of America	Anatole Litvak	Anatole Litvak	Warner Bros.	Tom Richards	Seton I. Miller	Adolph Deutsch	Castle on the Hudson is a movie, of the genre <mask>.	Castle on the Hudson is a movie, released 1940, of the genre <mask>.
114238	Homevideo	2011	Hans Werner Meyer	Germany	Kilian Riedhof	Benjamin Benedict	Netflix	Benjamin Hembus	Jan Braren	Peter Hinderthür	Homevideo is a movie, of the genre <mask>.	Homevideo is a movie, released 2011, of the genre <mask>.
114244	The Riot Club	2014	Jessica Brown Findlay	United Kingdom	Lone Scherfig	Graham Broadbent	Universal Pictures	Jake Roberts	Laura Wade	Kasper Winding	The Riot Club is a movie, of the genre <mask>.	The Riot Club is a movie, released 2014, of the genre <mask>.
114246	A Walk Among the Tombstones	2014	Mark Consuelos	United States of America	Scott Frank	Danny DeVito	Netflix	Jill Savitt	Lawrence Block	Carlos Rafael Rivera	A Walk Among the Tombstones is a movie, of the genre <mask>.	A Walk Among the Tombstones is a movie, released 2014, of the genre <mask>.
114265	Laggies	2014	Keira Knightley	United States of America	Lynn Shelton	Steve Golin	iTunes	Nat Sanders	Andrea Seigel	Ben Gibbard	Laggies is a movie, of the genre <mask>.	Laggies is a movie, released 2014, of the genre <mask>.
114267	The Confession	1970	Simone Signoret	Italy	Costa-Gavras	Robert Dorfmann	Paramount Pictures	Françoise Bonnot	Jorge Semprún	Giovanni Fusco	The Confession is a movie, of the genre <mask>.	The Confession is a movie, released 1970, of the genre <mask>.
114342	Force Majeure	2014	Brady Corbet	Sweden	Ruben Östlund	Erik Hemmendorff	Coproduction Office	Ruben Östlund	Ruben Östlund	Ola Fløttum	Force Majeure is a movie, of the genre <mask>.	Force Majeure is a movie, released 2014, of the genre <mask>.
114378	CBGB	2013	Rupert Grint	United States of America	Randall Miller	Randall Miller	Netflix	Dan O'Brien	Randall Miller	Cliff Eidelman	CBGB is a movie, of the genre <mask>.	CBGB is a movie, released 2013, of the genre <mask>.
114396	Cesar Chavez	2014	John Malkovich	United States of America	Diego Luna	Diego Luna	Netflix	Douglas Crise	Timothy J. Sexton	Michael Brook	Cesar Chavez is a movie, of the genre <mask>.	Cesar Chavez is a movie, released 2014, of the genre <mask>.
114398	Chad Hanna	1940	Dorothy Lamour	United States of America	Henry King	Darryl F. Zanuck	20th Century Studios	Barbara McLean	Nunnally Johnson	David Buttolph	Chad Hanna is a movie, of the genre <mask>.	Chad Hanna is a movie, released 1940, of the genre <mask>.
114400	Chain Lightning	1950	Humphrey Bogart	United States of America	Stuart Heisler	Anthony Veiller	Warner Bros.	Thomas Reilly	Liam O'Brien	David Buttolph	Chain Lightning is a movie, of the genre <mask>.	Chain Lightning is a movie, released 1950, of the genre <mask>.
114417	An Average Little Man	1977	Alberto Sordi	Italy	Mario Monicelli	Luigi De Laurentiis	Cineriz	Ruggero Mastroianni	Mario Monicelli	Giancarlo Chiaramello	An Average Little Man is a movie, of the genre <mask>.	An Average Little Man is a movie, released 1977, of the genre <mask>.
114420	When Eight Bells Toll	1971	Jack Hawkins	United Kingdom	Étienne Périer	Elliott Kastner	J. Arthur Rank	John Shirley	Alistair MacLean	Angela Morley	When Eight Bells Toll is a movie, of the genre <mask>.	When Eight Bells Toll is a movie, released 1971, of the genre <mask>.
114439	November Man	2014	Pierce Brosnan	United States of America	Roger Donaldson	Pierce Brosnan	Netflix	John Gilbert	Karl Gajdusek	Marco Beltrami	November Man is a movie, of the genre <mask>.	November Man is a movie, released 2014, of the genre <mask>.
114455	The Night They Raided Minsky's	1968	Forrest Tucker	United States of America	William Friedkin	Norman Lear	United Artists Corporation	Ralph Rosenblum	Norman Lear	Charles Strouse	The Night They Raided Minsky's is a movie, of the genre <mask>.	The Night They Raided Minsky's is a movie, released 1968, of the genre <mask>.
114459	White Bird in a Blizzard	2014	Jacob Artist	United States of America	Gregg Araki	Gregg Araki	Netflix	Gregg Araki	Gregg Araki	Robin Guthrie	White Bird in a Blizzard is a movie, of the genre <mask>.	White Bird in a Blizzard is a movie, released 2014, of the genre <mask>.
114494	Who Am I – No System is Safe	2014	Tom Schilling	Germany	Baran bo Odar	Quirin Berg	Netflix	Robert Rzesacz	Baran bo Odar	Michael Kamm	Who Am I – No System is Safe is a movie, of the genre <mask>.	Who Am I – No System is Safe is a movie, released 2014, of the genre <mask>.
114573	A Girl in Every Port	1952	George E. Stone	United States of America	Chester Erskine	Irwin Allen	RKO Pictures	Ralph Dawson	Frederick Hazlitt Brennan	Roy Webb	A Girl in Every Port is a movie, of the genre <mask>.	A Girl in Every Port is a movie, released 1952, of the genre <mask>.
114601	This Is Where I Leave You	2014	Tina Fey	United States of America	Shawn Levy	Shawn Levy	Warner Bros.	Dean Zimmerman	Jonathan Tropper	Michael Giacchino	This Is Where I Leave You is a movie, of the genre <mask>.	This Is Where I Leave You is a movie, released 2014, of the genre <mask>.
114683	Romanzo di un giovane povero	1995	Alberto Sordi	Italy	Ettore Scola	Luciano Ricceri	Istituto Luce	Raimondo Crociani	Ettore Scola	Armando Trovaioli	Romanzo di un giovane povero is a movie, of the genre <mask>.	Romanzo di un giovane povero is a movie, released 1995, of the genre <mask>.
114687	Unfair Competition	2001	Gérard Depardieu	Italy	Ettore Scola	Franco Committeri	Pandora	Raimondo Crociani	Furio Scarpelli	Armando Trovaioli	Unfair Competition is a movie, of the genre <mask>.	Unfair Competition is a movie, released 2001, of the genre <mask>.
114694	Rock-A-Bye Baby	1958	Hope Emerson	United States of America	Frank Tashlin	Jerry Lewis	Paramount Pictures	Alma Macrorie	Preston Sturges	Harry Warren	Rock-A-Bye Baby is a movie, of the genre <mask>.	Rock-A-Bye Baby is a movie, released 1958, of the genre <mask>.
114696	Hollywood or Bust	1956	Dean Martin	United States of America	Frank Tashlin	Hal B. Wallis	Paramount Pictures	Howard Alexander Smith	Dean Martin	Walter Scharf	Hollywood or Bust is a movie, of the genre <mask>.	Hollywood or Bust is a movie, released 1956, of the genre <mask>.
114713	Annabelle	2014	Patrick Wilson	United States of America	John R. Leonetti	Peter Safran	Warner Bros.	Tom Elkins	Gary Dauberman	Joseph Bishara	Annabelle is a movie, of the genre <mask>.	Annabelle is a movie, released 2014, of the genre <mask>.
114717	Madicken på Junibacken	1980	Jonna Liljendahl	Sweden	Göran Graffman	Olle Hellbom	SF Studios	Jan Persson	Astrid Lindgren	Bengt Hallberg	Madicken på Junibacken is a movie, of the genre <mask>.	Madicken på Junibacken is a movie, released 1980, of the genre <mask>.
114773	Chained	1934	Frank Puglia	United States of America	Clarence Brown	Hunt Stromberg	Metro-Goldwyn-Mayer	Robert J. Kern	John Lee Mahin	Herbert Stothart	Chained is a movie, of the genre <mask>.	Chained is a movie, released 1934, of the genre <mask>.
114795	Dracula Untold	2014	Dominic Cooper	Republic of Ireland	Gary Shore	Michael De Luca	Universal Pictures	Richard Pearson	Matt Sazama	Ramin Djawadi	Dracula Untold is a movie, of the genre <mask>.	Dracula Untold is a movie, released 2014, of the genre <mask>.
114898	Millie	1931	James Hall	United States of America	John Francis Dillon	Charles R. Rogers	RKO Pictures	Fred Allen	Charles Kenyon	Arthur Lange	Millie is a movie, of the genre <mask>.	Millie is a movie, released 1931, of the genre <mask>.
114925	The Captive	2014	Mireille Enos	Canada	Atom Egoyan	Jennifer Weiss	Netflix	Susan Shipton	Atom Egoyan	Mychael Danna	The Captive is a movie, of the genre <mask>.	The Captive is a movie, released 2014, of the genre <mask>.
114947	The Red Tent	1969	Sean Connery	Italy	Mikhail Kalatozov	Franco Cristaldi	Mosfilm	John Shirley	Mikhail Kalatozov	Ennio Morricone	The Red Tent is a movie, of the genre <mask>.	The Red Tent is a movie, released 1969, of the genre <mask>.
115023	The Falling	1985	Lynn-Holly Johnson	United States of America	Deran Sarafian	Deran Sarafian	Trans World Entertainment	Dennis Hill	Deran Sarafian	Thomas Chase	The Falling is a movie, of the genre <mask>.	The Falling is a movie, released 1985, of the genre <mask>.
115122	What We Do in the Shadows	2014	Taika Waititi	New Zealand	Taika Waititi	Taika Waititi	The Orchard	Yana Gorskaya	Taika Waititi	Plan 9	What We Do in the Shadows is a movie, of the genre <mask>.	What We Do in the Shadows is a movie, released 2014, of the genre <mask>.
115130	The Dark Horse	2014	James Napier Robertson	New Zealand	James Napier Robertson	Tom Hern	Transmission Films	Peter Roberts	James Napier Robertson	Dana Lund	The Dark Horse is a movie, of the genre <mask>.	The Dark Horse is a movie, released 2014, of the genre <mask>.
115139	Challenge to Lassie	1949	Mary Gordon	United States of America	Richard Thorpe	Robert Sisk	Metro-Goldwyn-Mayer	George White	William Ludwig	André Previn	Challenge to Lassie is a movie, of the genre <mask>.	Challenge to Lassie is a movie, released 1949, of the genre <mask>.
115147	The Best of Me	2014	Liana Liberato	United States of America	Michael Hoffman	Nicholas Sparks	Netflix	Matt Chesse	Nicholas Sparks	Aaron Zigman	The Best of Me is a movie, of the genre <mask>.	The Best of Me is a movie, released 2014, of the genre <mask>.
115149	John Wick	2014	Keanu Reeves	United States of America	David Leitch	Eva Longoria	Summit Entertainment	Elísabet Ronaldsdóttir	Derek Kolstad	Tyler Bates	John Wick is a movie, of the genre <mask>.	John Wick is a movie, released 2014, of the genre <mask>.
115160	Two Weeks in Another Town	1962	Cyd Charisse	United States of America	Vincente Minnelli	John Houseman	Metro-Goldwyn-Mayer	Adrienne Fazan	Charles Schnee	David Raksin	Two Weeks in Another Town is a movie, of the genre <mask>.	Two Weeks in Another Town is a movie, released 1962, of the genre <mask>.
115170	The Judge	2014	Robert Duvall	United States of America	David Dobkin	Susan Downey	Warner Bros.	Mark Livolsi	David Dobkin	Thomas Newman	The Judge is a movie, of the genre <mask>.	The Judge is a movie, released 2014, of the genre <mask>.
115172	The Disappearance of Eleanor Rigby	2014	Bill Hader	United States of America	Ned Benson	Jessica Chastain	The Weinstein Company	Kristina Boden	Ned Benson	Son Lux	The Disappearance of Eleanor Rigby is a movie, of the genre <mask>.	The Disappearance of Eleanor Rigby is a movie, released 2014, of the genre <mask>.
115210	Fury	2014	Brad Pitt	United States of America	David Ayer	John Lesher	Columbia Pictures	Dody Dorn	David Ayer	Steven Price	Fury is a movie, of the genre <mask>.	Fury is a movie, released 2014, of the genre <mask>.
115216	The Salvation	2014	Jonathan Pryce	Denmark	Kristian Levring	Sisse Graum Jørgensen	Nordisk Film	Pernille Bech Christensen	Anders Thomas Jensen	Kasper Winding	The Salvation is a movie, of the genre <mask>.	The Salvation is a movie, released 2014, of the genre <mask>.
115231	St. Vincent	2014	Naomi Watts	United States of America	Theodore Melfi	Fred Roos	The Weinstein Company	Peter Teschner	Theodore Melfi	Theodore Shapiro	St. Vincent is a movie, of the genre <mask>.	St. Vincent is a movie, released 2014, of the genre <mask>.
1153	Raw Deal	1948	Claire Trevor	United States of America	Anthony Mann	Edward Small	Eagle-Lion Films	Alfred DeGaetano	John C. Higgins	Paul Sawtell	Raw Deal is a movie, of the genre <mask>.	Raw Deal is a movie, released 1948, of the genre <mask>.
115381	Alexander and the Terrible, Horrible, No Good, Very Bad Day	2014	Jennifer Garner	United States of America	Miguel Arteta	Shawn Levy	Netflix	Pamela Martin	Lisa Cholodenko	Christophe Beck	Alexander and the Terrible, Horrible, No Good, Very Bad Day is a movie, of the genre <mask>.	Alexander and the Terrible, Horrible, No Good, Very Bad Day is a movie, released 2014, of the genre <mask>.
1154	T-Men	1947	June Lockhart	United States of America	Anthony Mann	Aubrey Schenck	Eagle-Lion Films	Fred Allen	John C. Higgins	Paul Sawtell	T-Men is a movie, of the genre <mask>.	T-Men is a movie, released 1947, of the genre <mask>.
115414	Left Behind	2014	Nicolas Cage	United States of America	Vic Armstrong	Paul LaLonde	Netflix	Vic Armstrong	Tim LaHaye	Jack Lenz	Left Behind is a movie, of the genre <mask>.	Left Behind is a movie, released 2014, of the genre <mask>.
